Med video! Time, X, Y, Z, Pitch, Yaw, Roll, errorHeight, errorRoll, errorPitch, errorYaw, HLeadOut, HIntegralOut, HeightError
------------------------[Parameters]------------------------
HOVER_VALUE, ctrl_x->ref, ctrl_y->ref, ctrl_yaw->ref, ctrl_h->ref, ctrl_h->kp, ctrl_h->tau_i, ctrl_h->tau_d, ctrl_h->alpha, ctrl_vel_x->tau_i, ctrl_vel_x->tau_d, ctrl_vel_x->alpha
86.000, 0.522, 1.781, 1.600, 3.000, 21.964, 6.447, 1.802, 0.090, 0.000, 0.347, 0.300, 
------------------------[Parameters]------------------------
16.735,0.299,1.731,0.574,0.053,1.567,-0.020,90.360,3.457,-0.904,0.377
17.034,0.304,1.724,0.571,0.060,1.567,-0.028,90.408,3.347,-1.024,0.392
17.333,0.306,1.716,0.563,0.057,1.567,-0.039,90.459,3.353,-1.157,0.380
17.632,0.304,1.707,0.554,0.053,1.569,-0.030,90.511,3.454,-1.380,0.367
17.931,0.298,1.697,0.549,0.054,1.567,-0.029,90.563,3.698,-1.538,0.374
18.230,0.292,1.685,0.553,0.054,1.564,-0.024,90.612,3.747,-1.741,0.397
18.529,0.291,1.676,0.561,0.051,1.562,-0.018,90.659,3.663,-1.830,0.420
18.828,0.292,1.669,0.575,0.047,1.558,-0.027,90.703,3.608,-1.821,0.457
19.127,0.296,1.668,0.592,0.044,1.553,-0.030,90.745,3.515,-1.712,0.509
19.426,0.299,1.671,0.612,0.060,1.551,-0.033,90.785,3.477,-1.627,0.549
19.725,0.303,1.670,0.625,0.059,1.547,-0.028,90.826,3.379,-1.672,0.590
20.025,0.309,1.663,0.635,0.060,1.548,-0.020,90.868,3.262,-1.969,0.603
20.324,0.319,1.653,0.639,0.050,1.546,-0.022,90.912,3.058,-2.109,0.629
20.623,0.335,1.647,0.644,0.050,1.544,-0.026,90.960,2.544,-2.198,0.637
20.922,0.356,1.645,0.646,0.045,1.544,-0.029,91.005,2.226,-2.056,0.644
21.221,0.377,1.651,0.640,0.052,1.542,-0.036,91.053,1.813,-1.867,0.665
21.520,0.392,1.658,0.629,0.054,1.539,-0.048,91.104,1.798,-1.665,0.686
21.819,0.397,1.663,0.609,0.067,1.541,-0.040,91.158,1.948,-1.742,0.677
22.118,0.392,1.662,0.587,0.060,1.539,-0.040,91.214,2.226,-1.844,0.684
22.417,0.380,1.655,0.571,0.054,1.541,-0.032,91.270,2.505,-2.010,0.683
22.715,0.369,1.644,0.564,0.053,1.540,-0.025,91.324,2.664,-2.263,0.689
23.014,0.364,1.634,0.569,0.057,1.543,-0.020,91.373,2.611,-2.431,0.658
23.313,0.368,1.632,0.583,0.039,1.542,-0.021,91.418,2.357,-2.312,0.648
23.612,0.379,1.636,0.604,0.052,1.545,-0.029,91.459,2.085,-2.170,0.633
23.911,0.391,1.646,0.628,0.051,1.548,-0.040,91.497,1.789,-1.812,0.604
24.210,0.397,1.654,0.650,0.065,1.551,-0.040,91.535,1.914,-1.789,0.575
24.509,0.395,1.657,0.667,0.067,1.555,-0.035,91.573,2.035,-1.874,0.525
24.808,0.388,1.651,0.678,0.062,1.558,-0.031,91.614,2.280,-2.120,0.502
25.106,0.378,1.639,0.687,0.056,1.559,-0.035,91.656,2.485,-2.409,0.480
25.405,0.366,1.627,0.692,0.054,1.559,-0.033,91.699,2.690,-2.622,0.458
25.704,0.356,1.622,0.698,0.035,1.563,-0.024,91.742,2.824,-2.569,0.439
