Time, X, Y, Z, Pitch, Yaw, Roll, errorHeight, errorRoll, errorPitch, errorYaw, HLeadOut, HIntegralOut, HeightError
------------------------[Parameters]------------------------
HOVER_VALUE, ctrl_x->ref, ctrl_y->ref, ctrl_yaw->ref, ctrl_h->ref, ctrl_h->kp, ctrl_h->tau_i, ctrl_h->tau_d, ctrl_h->alpha, ctrl_vel_x->tau_i, ctrl_vel_x->tau_d, ctrl_vel_x->alpha
430.000, 0.356, 1.376, 0.051, 4.000, 20.000, 0.000, 0.745, 0.070, 0.000, 0.347, 0.300, 
------------------------[Parameters]------------------------
0.252,0.358,1.376,0.433,0.023,0.050,-0.016,501.342,-0.031,-0.118,0.010,0.433,0.000,-3.567
0.504,0.358,1.377,0.436,0.029,0.050,-0.007,501.305,-0.043,0.000,0.019,0.435,0.000,-3.564
0.757,0.355,1.396,0.500,0.050,0.041,0.039,500.424,-0.744,0.154,0.063,0.479,0.000,-3.500
1.009,0.353,1.450,0.691,0.052,0.034,0.034,497.022,-2.365,0.215,0.168,0.649,0.000,-3.309
1.261,0.352,1.548,1.027,0.039,0.018,-0.010,491.193,-4.985,0.189,0.292,0.940,0.000,-2.973
1.513,0.350,1.646,1.435,0.047,0.012,-0.053,483.404,-7.209,0.213,0.385,1.330,0.000,-2.565
1.765,0.349,1.722,1.887,0.050,0.008,-0.095,474.478,-7.453,0.246,0.486,1.776,0.000,-2.113
2.017,0.351,1.759,2.350,0.052,0.003,-0.101,465.334,-6.966,0.023,0.537,2.233,0.000,-1.650
2.270,0.355,1.755,2.799,0.048,0.000,-0.094,456.303,-5.914,-0.083,0.554,2.685,0.000,-1.201
2.522,0.358,1.718,3.222,0.041,-0.001,-0.077,447.698,-4.273,-0.144,0.583,3.115,0.000,-0.778
2.774,0.360,1.662,3.596,0.043,-0.004,-0.052,439.672,-2.725,-0.123,0.612,3.516,0.000,-0.404
3.026,0.358,1.597,3.945,0.040,-0.004,-0.026,432.662,-1.813,-0.004,0.632,3.867,0.000,-0.055
3.278,0.356,1.539,4.222,0.046,-0.007,-0.025,426.837,-1.068,0.136,0.660,4.158,0.000,0.222
3.530,0.353,1.492,4.432,0.045,-0.012,-0.020,422.331,-0.778,0.095,0.698,4.383,0.000,0.432
3.783,0.351,1.458,4.571,0.041,-0.011,-0.012,419.148,-0.488,0.130,0.706,4.543,0.000,0.571
4.035,0.348,1.437,4.634,0.040,-0.013,-0.020,417.534,-0.430,0.244,0.725,4.623,0.000,0.634
4.287,0.342,1.429,4.621,0.039,-0.018,-0.020,417.381,-0.624,0.352,0.754,4.631,0.000,0.621
4.539,0.336,1.431,4.531,0.044,-0.022,-0.028,418.773,-0.939,0.433,0.792,4.561,0.000,0.531
4.791,0.330,1.440,4.370,0.044,-0.023,-0.035,421.822,-1.295,0.603,0.854,4.409,0.000,0.370
5.043,0.326,1.451,4.139,0.051,-0.026,-0.043,426.176,-1.454,0.510,0.871,4.191,0.000,0.139
5.295,0.325,1.460,3.846,0.052,-0.029,-0.051,431.790,-1.549,0.445,0.910,3.911,0.000,-0.154
5.547,0.331,1.463,3.505,0.062,-0.030,-0.056,438.389,-1.434,0.185,0.929,3.581,0.000,-0.495
5.800,0.343,1.456,3.138,0.054,-0.027,-0.062,445.685,-0.979,-0.128,0.909,3.216,0.000,-0.862
6.052,0.357,1.437,2.760,0.039,-0.024,-0.057,453.073,-0.455,-0.430,0.880,2.846,0.000,-1.240
6.304,0.370,1.408,2.377,0.051,-0.021,-0.047,460.864,0.240,-0.585,0.838,2.457,0.000,-1.623
6.556,0.380,1.372,2.007,0.039,-0.016,-0.036,468.257,0.990,-0.656,0.800,2.087,0.000,-1.993
6.808,0.387,1.337,1.661,0.043,-0.012,-0.024,475.374,1.504,-0.665,0.743,1.731,0.000,-2.339
7.060,0.390,1.306,1.339,0.044,-0.005,-0.023,481.749,2.066,-0.597,0.663,1.413,0.000,-2.661
7.313,0.391,1.284,1.075,0.051,-0.000,-0.016,487.292,2.053,-0.618,0.612,1.135,0.000,-2.925
7.565,0.392,1.270,0.867,0.050,0.001,-0.028,491.729,2.168,-0.656,0.592,0.914,0.000,-3.133
7.817,0.397,1.258,0.733,0.057,0.002,-0.032,494.813,2.174,-0.796,0.567,0.759,0.000,-3.267
8.070,0.407,1.245,0.686,0.060,0.002,-0.038,496.179,2.376,-0.998,0.562,0.691,0.000,-3.314
8.322,0.425,1.231,0.731,0.058,0.007,-0.027,495.714,2.558,-1.504,0.539,0.714,0.000,-3.269
8.574,0.445,1.218,0.852,0.043,0.007,-0.022,493.662,2.791,-1.870,0.504,0.817,0.000,-3.148
8.827,0.460,1.208,1.027,0.039,0.007,-0.029,490.193,2.961,-2.059,0.510,0.990,0.000,-2.973
9.078,0.471,1.200,1.277,0.043,0.006,-0.027,485.531,2.928,-2.033,0.525,1.223,0.000,-2.723
9.331,0.475,1.195,1.564,0.044,0.003,-0.028,480.120,2.982,-1.998,0.535,1.494,0.000,-2.436
9.583,0.476,1.194,1.863,0.042,-0.000,-0.033,474.242,2.889,-1.884,0.565,1.788,0.000,-2.137
9.835,0.474,1.195,2.172,0.045,-0.003,-0.043,468.063,2.827,-1.786,0.574,2.097,0.000,-1.828
10.087,0.471,1.198,2.482,0.045,-0.001,-0.033,461.894,2.782,-1.667,0.591,2.405,0.000,-1.518
10.339,0.467,1.200,2.786,0.046,-0.003,-0.036,455.581,2.730,-1.622,0.601,2.721,0.000,-1.214
10.590,0.461,1.203,3.058,0.043,-0.003,-0.031,449.968,2.585,-1.504,0.607,3.002,0.000,-0.942
10.842,0.455,1.208,3.288,0.045,-0.003,-0.034,445.071,2.523,-1.366,0.609,3.246,0.000,-0.712
11.094,0.446,1.214,3.494,0.042,-0.005,-0.041,440.908,2.445,-1.141,0.618,3.455,0.000,-0.506
11.346,0.438,1.219,3.649,0.051,-0.003,-0.040,437.616,2.269,-1.011,0.620,3.619,0.000,-0.351
11.598,0.430,1.223,3.757,0.047,0.002,-0.037,435.259,2.276,-0.924,0.613,3.737,0.000,-0.243
11.851,0.423,1.227,3.818,0.050,0.002,-0.031,433.835,2.223,-0.937,0.578,3.808,0.000,-0.182
12.103,0.417,1.231,3.828,0.049,-0.002,-0.036,433.423,2.195,-0.804,0.579,3.829,0.000,-0.172
12.355,0.415,1.237,3.788,0.055,-0.001,-0.036,434.015,1.978,-0.843,0.577,3.799,0.000,-0.212
12.607,0.416,1.242,3.696,0.049,-0.001,-0.042,435.641,1.945,-0.939,0.582,3.718,0.000,-0.304
12.860,0.421,1.250,3.554,0.048,0.003,-0.036,438.181,1.817,-1.114,0.563,3.591,0.000,-0.446
13.112,0.428,1.254,3.381,0.055,0.006,-0.040,441.548,1.812,-1.297,0.527,3.423,0.000,-0.619
13.364,0.436,1.254,3.160,0.048,0.008,-0.043,445.674,1.899,-1.475,0.504,3.216,0.000,-0.840
13.616,0.448,1.247,2.919,0.058,0.012,-0.045,450.394,2.157,-1.848,0.465,2.980,0.000,-1.081
13.868,0.462,1.235,2.658,0.048,0.017,-0.040,455.531,2.513,-2.058,0.419,2.723,0.000,-1.342
14.120,0.478,1.221,2.398,0.048,0.022,-0.031,460.866,2.868,-2.515,0.372,2.457,0.000,-1.602
14.372,0.491,1.203,2.117,0.035,0.021,-0.036,466.298,3.096,-2.484,0.345,2.185,0.000,-1.883
14.624,0.501,1.183,1.858,0.048,0.025,-0.036,471.533,3.447,-2.618,0.310,1.923,0.000,-2.142
14.877,0.507,1.161,1.616,0.047,0.029,-0.030,476.515,3.822,-2.659,0.278,1.674,0.000,-2.384
15.129,0.512,1.138,1.399,0.045,0.029,-0.027,481.005,4.155,-2.676,0.247,1.450,0.000,-2.601
15.381,0.514,1.116,1.217,0.046,0.034,-0.026,484.806,4.538,-2.696,0.230,1.260,0.000,-2.783
15.633,0.512,1.095,1.070,0.046,0.032,-0.027,487.902,4.842,-2.530,0.202,1.105,0.000,-2.930
15.885,0.508,1.076,0.980,0.049,0.034,-0.025,490.078,5.141,-2.444,0.199,0.996,0.000,-3.020
16.138,0.502,1.060,0.941,0.045,0.035,-0.021,491.089,5.319,-2.276,0.179,0.946,0.000,-3.059
16.390,0.492,1.049,0.952,0.043,0.037,-0.024,491.055,5.398,-2.082,0.185,0.947,0.000,-3.048
16.641,0.479,1.040,1.016,0.051,0.033,-0.021,490.007,5.486,-1.796,0.198,1.000,0.000,-2.984
16.894,0.466,1.032,1.122,0.052,0.030,-0.025,488.053,5.507,-1.565,0.228,1.097,0.000,-2.878
17.146,0.455,1.023,1.268,0.053,0.028,-0.026,485.287,5.788,-1.391,0.254,1.236,0.000,-2.732
17.398,0.447,1.012,1.446,0.056,0.023,-0.026,481.856,5.899,-1.358,0.296,1.407,0.000,-2.554
17.651,0.442,1.000,1.644,0.060,0.022,-0.026,477.895,6.202,-1.367,0.337,1.605,0.000,-2.356
17.903,0.440,0.989,1.867,0.052,0.019,-0.020,473.602,6.302,-1.392,0.367,1.820,0.000,-2.133
18.155,0.444,0.982,2.090,0.058,0.016,-0.021,469.139,6.314,-1.600,0.403,2.043,0.000,-1.910
18.407,0.449,0.980,2.317,0.052,0.013,-0.019,464.727,6.242,-1.715,0.423,2.264,0.000,-1.683
18.660,0.456,0.986,2.530,0.049,0.011,-0.018,460.450,6.000,-1.763,0.445,2.477,0.000,-1.470
18.912,0.463,0.998,2.726,0.047,0.008,-0.025,456.426,5.565,-1.909,0.471,2.679,0.000,-1.274
19.164,0.468,1.012,2.899,0.047,0.006,-0.037,452.834,5.325,-1.867,0.500,2.858,0.000,-1.101
19.416,0.470,1.024,3.043,0.042,0.006,-0.038,449.796,5.174,-1.865,0.528,3.010,0.000,-0.957
19.668,0.468,1.033,3.155,0.039,0.003,-0.032,447.400,5.140,-1.715,0.543,3.130,0.000,-0.845
19.920,0.461,1.038,3.235,0.040,0.002,-0.037,445.640,5.184,-1.482,0.556,3.218,0.000,-0.765
20.172,0.452,1.041,3.277,0.049,-0.001,-0.034,444.604,5.161,-1.267,0.574,3.270,0.000,-0.723
20.425,0.441,1.042,3.282,0.047,-0.003,-0.032,444.340,5.209,-1.030,0.605,3.283,0.000,-0.718
20.677,0.434,1.043,3.248,0.062,-0.006,-0.031,444.821,5.208,-1.021,0.630,3.259,0.000,-0.752
20.929,0.433,1.045,3.182,0.061,-0.007,-0.031,446.028,5.151,-1.185,0.653,3.199,0.000,-0.818
21.181,0.438,1.049,3.078,0.055,-0.009,-0.034,447.883,5.077,-1.427,0.666,3.106,0.000,-0.922
21.433,0.449,1.053,2.941,0.053,-0.009,-0.032,450.405,4.994,-1.706,0.669,2.980,0.000,-1.059
21.685,0.462,1.055,2.788,0.048,-0.006,-0.041,453.559,5.001,-1.977,0.677,2.822,0.000,-1.212
21.938,0.474,1.055,2.615,0.046,-0.005,-0.040,456.888,5.064,-2.172,0.657,2.656,0.000,-1.385
22.190,0.484,1.049,2.435,0.041,-0.005,-0.042,460.486,5.266,-2.243,0.647,2.476,0.000,-1.565
22.442,0.489,1.040,2.249,0.040,-0.002,-0.038,464.228,5.469,-2.200,0.613,2.289,0.000,-1.751
22.694,0.490,1.029,2.066,0.038,0.000,-0.037,467.915,5.720,-2.115,0.584,2.104,0.000,-1.934
22.947,0.487,1.018,1.891,0.045,-0.000,-0.028,471.446,5.949,-1.930,0.567,1.928,0.000,-2.109
23.199,0.481,1.010,1.729,0.045,0.004,-0.023,474.737,5.957,-1.822,0.545,1.763,0.000,-2.271
23.451,0.474,1.006,1.590,0.047,0.007,-0.023,477.647,5.939,-1.721,0.545,1.618,0.000,-2.410
23.703,0.467,1.005,1.472,0.046,0.004,-0.036,480.092,5.844,-1.539,0.550,1.495,0.000,-2.528
