Units are seconds, meters, and radians
Time, FPS, x, y, z, x_raw, y_raw, z_raw, pitch, yaw, roll
0.29, 15, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0082, -0.0239, 0.0093
0.56, 15, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0173, -0.0153, 0.0110
0.83, 15, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0192, -0.0229, 0.0098
1.09, 15, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0318, -0.0260, 0.0086
1.38, 15, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0418, -0.0324, -0.0005
1.67, 15, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0426, -0.0400, 0.0068
1.96, 15, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0002, -0.0613, -0.0291
2.25, 18, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0528, -0.0635, -0.0287
2.56, 18, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0255, -0.0675, -0.0197
2.86, 18, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0071, -0.0706, -0.0083
3.16, 17, 0.0312, 0.2942, -0.7981, 0.0355, 0.2943, -0.7979, 0.0228, -0.0763, 0.0034
3.48, 17, 0.0127, 0.2648, -0.8223, 0.0029, 0.2705, -0.8205, 0.0377, -0.0793, 0.0078
3.74, 17, 0.0087, 0.2460, -0.8196, -0.0078, 0.2538, -0.8172, 0.0438, -0.0775, 0.0097
4.00, 17, 0.0067, 0.2443, -0.8428, -0.0060, 0.2468, -0.8421, 0.0389, -0.0815, 0.0030
4.26, 16, 0.0115, 0.2511, -0.8939, 0.0108, 0.2494, -0.8944, 0.0245, -0.0845, -0.0009
4.52, 16, 0.0266, 0.2544, -0.9063, 0.0313, 0.2456, -0.9086, 0.0186, -0.0864, -0.0070
4.78, 16, 0.0378, 0.2562, -0.9173, 0.0525, 0.2417, -0.9205, 0.0078, -0.0876, -0.0115
5.04, 16, 0.0477, 0.2568, -0.9469, 0.0747, 0.2391, -0.9498, -0.0056, -0.0875, -0.0131
5.30, 16, 0.0625, 0.2419, -0.9639, 0.0889, 0.2263, -0.9657, -0.0063, -0.0870, -0.0094
5.56, 16, 0.0679, 0.2315, -0.9956, 0.0893, 0.2162, -0.9974, -0.0017, -0.0881, -0.0084
5.81, 16, 0.0658, 0.2084, -1.0331, 0.0818, 0.2004, -1.0335, 0.0017, -0.0870, -0.0015
6.12, 16, 0.0657, 0.1800, -1.0463, 0.0699, 0.1763, -1.0466, 0.0116, -0.0924, 0.0024
6.37, 16, 0.0637, 0.1637, -1.0534, 0.0526, 0.1606, -1.0545, 0.0245, -0.0908, 0.0021
6.63, 16, 0.0590, 0.1541, -1.0551, 0.0464, 0.1483, -1.0565, 0.0252, -0.0924, -0.0008
6.89, 16, 0.0564, 0.1435, -1.0599, 0.0459, 0.1403, -1.0609, 0.0220, -0.0903, 0.0013
7.15, 16, 0.0589, 0.1485, -1.0887, 0.0466, 0.1378, -1.0906, 0.0235, -0.0934, -0.0052
7.40, 16, 0.0616, 0.1502, -1.1061, 0.0525, 0.1352, -1.1085, 0.0200, -0.0911, -0.0089
7.66, 16, 0.0668, 0.1473, -1.1110, 0.0639, 0.1304, -1.1133, 0.0143, -0.0936, -0.0097
7.97, 16, 0.0768, 0.1258, -1.1282, 0.0764, 0.1115, -1.1297, 0.0103, -0.0945, -0.0062
8.26, 17, 0.0886, 0.1410, -1.1588, 0.0819, 0.1044, -1.1632, 0.0236, -0.0976, -0.0601
8.54, 17, 0.0821, 0.3083, -1.1200, 0.0741, 0.1826, -1.1478, 0.0238, -0.0946, -0.0968
8.83, 17, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0199, -0.0961, -0.1086
9.09, 17, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0181, -0.1016, -0.0619
9.39, 19, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0046, -0.1020, -0.0127
9.65, 19, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0054, -0.1015, 0.0170
9.90, 19, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0116, -0.1016, 0.0177
10.16, 19, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0203, -0.1022, -0.0064
10.43, 20, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0374, -0.1046, -0.0248
10.70, 20, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0350, -0.1068, -0.0336
10.97, 20, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0146, -0.1086, -0.0360
11.24, 20, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0145, -0.1102, -0.0367
11.52, 19, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0144, -0.1098, -0.0161
11.83, 19, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0520, -0.1089, 0.0526
12.10, 19, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0384, -0.1115, 0.0509
12.37, 19, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0176, -0.1123, 0.0548
12.68, 19, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0031, -0.1125, 0.0498
12.98, 19, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, -0.0077, -0.1161, 0.0326
13.27, 19, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, -0.0176, -0.1139, 0.0070
13.57, 16, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0035, -0.1114, -0.0195
13.88, 16, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0155, -0.1112, -0.0299
14.19, 16, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0225, -0.1092, -0.0281
14.49, 17, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0281, -0.1055, -0.0221
14.79, 17, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0152, -0.1042, -0.0106
15.07, 17, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0074, -0.1018, 0.0001
15.36, 17, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0049, -0.0987, 0.0061
15.67, 18, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0045, -0.0978, 0.0000
15.98, 18, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0071, -0.0954, -0.0012
16.23, 18, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0165, -0.0966, -0.0089
16.53, 17, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0230, -0.0964, -0.0101
16.83, 17, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0297, -0.0946, -0.0057
17.09, 17, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0316, -0.0978, -0.0074
17.34, 17, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0325, -0.0953, 0.0015
17.64, 17, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0252, -0.0963, -0.0042
17.95, 17, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0219, -0.0945, -0.0110
18.20, 17, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0183, -0.0949, -0.0116
18.50, 17, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0173, -0.0954, -0.0114
18.81, 17, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0217, -0.0928, -0.0074
19.12, 17, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0142, -0.0909, -0.0041
19.42, 17, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0118, -0.0883, 0.0033
19.73, 17, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0134, -0.0912, -0.0038
19.98, 17, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0127, -0.0892, -0.0053
20.25, 17, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0166, -0.0877, -0.0058
20.50, 17, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0206, -0.0869, -0.0082
20.81, 16, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0139, -0.0829, -0.0105
21.11, 16, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0216, -0.0822, -0.0085
21.37, 16, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0217, -0.0816, -0.0096
21.68, 16, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0202, -0.0808, -0.0047
21.98, 17, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0266, -0.0897, -0.0386
22.23, 17, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0657, -0.1006, -0.1712
22.53, 17, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0582, -0.1041, -0.1460
22.78, 20, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, -0.0132, -0.1108, -0.0260
23.03, 20, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, -0.0159, -0.1126, -0.0141
23.35, 20, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, -0.0220, -0.0691, 0.0107
23.64, 20, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, -0.0541, -0.0285, 0.0454
23.93, 18, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, -0.0492, 0.0122, 0.0566
24.23, 18, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, -0.0344, 0.0462, 0.0665
24.52, 18, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, -0.0208, 0.0654, 0.0721
24.82, 17, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0243, 0.0648, 0.0570
25.12, 17, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, -0.0027, 0.0631, 0.0552
25.38, 17, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, -0.0231, 0.0917, 0.0808
25.67, 17, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0195, 0.1512, 0.0904
25.95, 17, 0.0907, 0.2998, -1.1737, 0.0829, 0.1498, -1.2027, 0.0767, 0.1872, 0.0127
