Units are seconds, meters, and radians
Time, FPS, x, y, z, x_raw, y_raw, z_raw, pitch, yaw, roll
0.26, 28, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0123, -0.0167, 0.0081
0.52, 28, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0257, -0.0249, 0.0047
0.77, 28, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0419, -0.0331, -0.0168
1.02, 28, 0.0518, 0.0183, -0.4890, 0.0466, 0.0088, -0.4898, 0.0122, -0.0560, -0.0137
1.28, 28, 0.0700, -0.0110, -0.7131, 0.0897, -0.0127, -0.7109, -0.0287, -0.0616, 0.0044
1.57, 28, 0.0688, -0.0193, -0.8560, 0.0736, -0.0219, -0.8555, -0.0071, -0.0664, 0.0025
1.88, 28, 0.0586, -0.0194, -0.9786, 0.0453, -0.0230, -0.9792, 0.0157, -0.0733, 0.0006
2.19, 28, 0.0512, -0.0166, -1.0701, 0.0151, -0.0189, -1.0712, 0.0324, -0.0733, 0.0002
2.44, 17, 0.0355, -0.0040, -1.1638, 0.0045, -0.0128, -1.1643, 0.0261, -0.0731, -0.0063
2.75, 17, 0.0334, 0.0181, -1.2570, 0.0014, -0.0055, -1.2576, 0.0259, -0.0787, -0.0177
3.05, 17, 0.0420, 0.0057, -1.3580, 0.0172, -0.0160, -1.3585, 0.0180, -0.0838, -0.0141
3.30, 17, 0.0421, -0.0099, -1.4077, 0.0220, -0.0254, -1.4080, 0.0150, -0.0869, -0.0106
3.55, 17, 0.0513, -0.0222, -1.4767, 0.0306, -0.0402, -1.4769, 0.0122, -0.0866, -0.0098
3.81, 17, 0.0579, -0.0410, -1.5999, 0.0394, -0.0559, -1.6000, 0.0089, -0.0882, -0.0066
4.11, 17, 0.0621, -0.0728, -1.7001, 0.0470, -0.0814, -1.7002, 0.0047, -0.0921, -0.0021
4.42, 17, 0.0623, -0.0980, -1.8156, 0.0492, -0.1003, -1.8159, 0.0021, -0.0932, 0.0016
4.68, 17, 0.0618, -0.0988, -1.8156, 0.0492, -0.1003, -1.8159, 0.0032, -0.0952, 0.0029
4.94, 17, 0.0586, -0.1137, -1.9718, 0.0297, -0.1174, -1.9722, 0.0090, -0.0971, 0.0003
5.25, 17, 0.0568, -0.1155, -2.0413, 0.0245, -0.1207, -2.0416, 0.0151, -0.0995, -0.0018
5.50, 16, 0.0568, -0.1155, -2.0413, 0.0245, -0.1207, -2.0416, 0.0219, -0.1006, -0.0043
5.79, 16, 0.0568, -0.1155, -2.0413, 0.0245, -0.1207, -2.0416, 0.0192, -0.0999, -0.0085
6.04, 16, 0.0568, -0.1155, -2.0413, 0.0245, -0.1207, -2.0416, 0.0147, -0.1009, -0.0123
6.31, 16, 0.0568, -0.1155, -2.0413, 0.0245, -0.1207, -2.0416, 0.0128, -0.1043, -0.0107
6.58, 17, 0.0568, -0.1155, -2.0413, 0.0245, -0.1207, -2.0416, 0.0078, -0.1015, -0.0079
6.85, 17, 0.0568, -0.1155, -2.0413, 0.0245, -0.1207, -2.0416, 0.0055, -0.1014, -0.0102
7.14, 17, 0.0568, -0.1155, -2.0413, 0.0245, -0.1207, -2.0416, 0.0091, -0.1009, -0.0078
7.40, 17, 0.0568, -0.1155, -2.0413, 0.0245, -0.1207, -2.0416, 0.0145, -0.1021, -0.0126
7.71, 15, 0.0568, -0.1155, -2.0413, 0.0245, -0.1207, -2.0416, 0.0164, -0.1031, -0.0179
8.02, 15, 0.0568, -0.1155, -2.0413, 0.0245, -0.1207, -2.0416, 0.0141, -0.1005, -0.0157
8.28, 15, 0.0568, -0.1155, -2.0413, 0.0245, -0.1207, -2.0416, 0.0110, -0.1007, -0.0209
8.53, 16, 0.0568, -0.1155, -2.0413, 0.0245, -0.1207, -2.0416, 0.0144, -0.0980, -0.0203
8.83, 16, 0.0568, -0.1155, -2.0413, 0.0245, -0.1207, -2.0416, 0.0090, -0.0983, -0.0182
9.09, 16, 0.0568, -0.1155, -2.0413, 0.0245, -0.1207, -2.0416, 0.0028, -0.0966, -0.0194
9.34, 16, 0.0568, -0.1155, -2.0413, 0.0245, -0.1207, -2.0416, 0.0080, -0.0946, -0.0192
9.63, 17, 0.0568, -0.1155, -2.0413, 0.0245, -0.1207, -2.0416, 0.0113, -0.0935, -0.0106
9.90, 17, 0.0568, -0.1155, -2.0413, 0.0245, -0.1207, -2.0416, 0.0106, -0.0920, -0.0047
10.19, 17, 0.0568, -0.1155, -2.0413, 0.0245, -0.1207, -2.0416, 0.0086, -0.0960, -0.0036
10.47, 17, 0.0568, -0.1155, -2.0413, 0.0245, -0.1207, -2.0416, 0.0125, -0.0957, -0.0023
