Time, FPS, x, y, z, x_raw, y_raw, z_raw, pitch, yaw, roll
0.26, 1, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0073, -0.0182, 0.0062
0.53, 1, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0305, -0.0349, -0.0134
0.79, 37, 0.0701, -0.0091, -0.5422, 0.0660, -0.0140, -0.5426, 0.0063, -0.0569, -0.0019
1.07, 37, 0.0773, -0.0059, -0.7306, 0.0762, -0.0143, -0.7306, 0.0006, -0.0648, -0.0047
1.34, 37, 0.0811, 0.0234, -0.9150, 0.0796, -0.0031, -0.9154, 0.0024, -0.0720, -0.0226
1.59, 37, 0.0755, 0.0132, -1.0231, 0.0644, -0.0069, -1.0239, 0.0110, -0.0735, -0.0146
1.88, 26, 0.0749, -0.0080, -1.1523, 0.0631, -0.0166, -1.1529, 0.0093, -0.0849, -0.0024
2.17, 26, 0.0702, -0.0416, -1.5102, 0.0404, -0.0600, -1.5107, 0.0168, -0.0879, -0.0089
2.44, 26, 0.0791, -0.0241, -1.6402, 0.0564, -0.0586, -1.6403, 0.0117, -0.0855, -0.0175
2.70, 25, 0.0750, -0.0355, -1.7089, 0.0564, -0.0709, -1.7085, 0.0093, -0.0877, -0.0117
2.97, 25, 0.0807, -0.0552, -1.7640, 0.0527, -0.0860, -1.7638, 0.0155, -0.0901, -0.0084
3.26, 25, 0.0895, -0.1468, -1.9885, 0.0513, -0.1523, -1.9894, 0.0126, -0.0878, 0.0004
3.51, 25, 0.0971, -0.1534, -2.0920, 0.0733, -0.1628, -2.0922, 0.0048, -0.0875, -0.0009
3.79, 30, 0.0971, -0.1534, -2.0920, 0.0733, -0.1628, -2.0922, 0.0097, -0.0870, -0.0052
4.06, 30, 0.0971, -0.1534, -2.0920, 0.0733, -0.1628, -2.0922, 0.0097, -0.0861, -0.0145
4.34, 30, 0.0971, -0.1534, -2.0920, 0.0733, -0.1628, -2.0922, 0.0135, -0.0882, 0.0047
4.60, 30, 0.0971, -0.1534, -2.0920, 0.0733, -0.1628, -2.0922, 0.0134, -0.0907, -0.0115
