Time,FPS,x,y,z,x_raw,y_raw,z_raw,pitch,yaw,roll
0.30,2,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0013,-0.0554,0.0063
0.60,14,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0444,-0.1009,0.0421
0.86,14,-0.0531,0.3989,-0.8954,-0.0128,0.4352,-0.8798,0.0054,-0.1093,0.0266
1.16,14,-0.0385,0.4718,-0.9463,0.0183,0.4688,-0.9483,-0.0027,-0.1154,-0.0044
1.47,16,-0.0322,0.5408,-1.0246,0.0364,0.5130,-1.0387,-0.0061,-0.1179,-0.0266
1.73,16,-0.0342,0.5619,-1.0650,0.0336,0.5307,-1.0808,0.0073,-0.1224,-0.0338
1.98,16,-0.0342,0.5619,-1.0650,0.0336,0.5307,-1.0808,0.0162,-0.1235,-0.0283
2.23,16,-0.0342,0.5619,-1.0650,0.0336,0.5307,-1.0808,0.0191,-0.1269,-0.0196
2.53,17,-0.0342,0.5619,-1.0650,0.0336,0.5307,-1.0808,0.0200,-0.1269,-0.0066
2.83,17,-0.0342,0.5619,-1.0650,0.0336,0.5307,-1.0808,0.0152,-0.1279,0.0062
3.10,17,-0.0215,0.4126,-1.4502,0.0117,0.4306,-1.4451,0.0145,-0.1284,0.0120
3.36,17,-0.0215,0.4126,-1.4502,0.0117,0.4306,-1.4451,0.0145,-0.1304,0.0075
3.64,16,-0.0215,0.4126,-1.4502,0.0117,0.4306,-1.4451,0.0137,-0.1336,0.0048
3.93,16,-0.0215,0.4126,-1.4502,0.0117,0.4306,-1.4451,0.0183,-0.1287,-0.0167
4.23,16,-0.0215,0.4126,-1.4502,0.0117,0.4306,-1.4451,0.0134,-0.1291,-0.0139
4.51,16,-0.0215,0.4126,-1.4502,0.0117,0.4306,-1.4451,0.0162,-0.1315,-0.0149
4.78,16,-0.0215,0.4126,-1.4502,0.0117,0.4306,-1.4451,0.0124,-0.1288,-0.0011
5.05,16,-0.0215,0.4126,-1.4502,0.0117,0.4306,-1.4451,0.0074,-0.1281,0.0156
5.34,16,-0.0215,0.4126,-1.4502,0.0117,0.4306,-1.4451,0.0067,-0.1297,0.0029
5.62,17,-0.0215,0.4126,-1.4502,0.0117,0.4306,-1.4451,0.0124,-0.1251,0.0070
5.95,17,-0.0215,0.4126,-1.4502,0.0117,0.4306,-1.4451,-0.0992,-0.1319,0.0235
6.24,17,-0.0215,0.4126,-1.4502,0.0117,0.4306,-1.4451,0.0612,-0.1360,0.0208
6.54,14,-0.0215,0.4126,-1.4502,0.0117,0.4306,-1.4451,-0.0260,-0.1337,0.0261
6.83,14,-0.0215,0.4126,-1.4502,0.0117,0.4306,-1.4451,-0.0217,-0.1341,0.0239
7.12,14,-0.0215,0.4126,-1.4502,0.0117,0.4306,-1.4451,0.0538,-0.1294,-0.0266
7.40,14,-0.0215,0.4126,-1.4502,0.0117,0.4306,-1.4451,-0.0005,-0.1201,-0.0065
7.65,15,-0.0215,0.4126,-1.4502,0.0117,0.4306,-1.4451,0.0059,-0.1183,0.0078
8.54,15,-0.0215,0.4126,-1.4502,0.0117,0.4306,-1.4451,-0.0109,0.1052,0.1249
8.84,6,-0.0215,0.4126,-1.4502,0.0117,0.4306,-1.4451,-0.0454,0.1081,0.1039
9.12,6,-0.0215,0.4126,-1.4502,0.0117,0.4306,-1.4451,-0.0724,0.1137,0.0847
9.40,6,-0.0215,0.4126,-1.4502,0.0117,0.4306,-1.4451,-0.0599,0.1163,0.0764
9.67,19,-0.0215,0.4126,-1.4502,0.0117,0.4306,-1.4451,-0.0431,0.1141,0.0527
9.94,19,-0.0215,0.4126,-1.4502,0.0117,0.4306,-1.4451,-0.0527,0.1087,0.0013
10.22,19,-0.0215,0.4126,-1.4502,0.0117,0.4306,-1.4451,-0.0584,0.1007,-0.0250
10.49,19,-0.0215,0.4126,-1.4502,0.0117,0.4306,-1.4451,-0.0507,0.0926,-0.0202
10.78,18,-0.0215,0.4126,-1.4502,0.0117,0.4306,-1.4451,-0.0005,0.0908,-0.0347
11.05,18,-0.0215,0.4126,-1.4502,0.0117,0.4306,-1.4451,0.0640,0.0808,-0.1126
11.32,18,-0.0215,0.4126,-1.4502,0.0117,0.4306,-1.4451,-0.0124,0.0694,-0.0261
11.59,18,-0.0215,0.4126,-1.4502,0.0117,0.4306,-1.4451,0.0014,0.0659,-0.0342
11.91,17,-0.0215,0.4126,-1.4502,0.0117,0.4306,-1.4451,0.1136,0.0351,-0.0483
12.18,17,-0.0215,0.4126,-1.4502,0.0117,0.4306,-1.4451,0.1021,0.0215,-0.0142
12.47,17,-0.0215,0.4126,-1.4502,0.0117,0.4306,-1.4451,0.0547,-0.0843,0.0079
12.73,13,-0.0215,0.4126,-1.4502,0.0117,0.4306,-1.4451,0.0453,-0.0854,0.0044
13.01,13,-0.0215,0.4126,-1.4502,0.0117,0.4306,-1.4451,-0.0379,-0.0837,0.0021
13.30,13,-0.0215,0.4126,-1.4502,0.0117,0.4306,-1.4451,0.0123,-0.0862,0.0028
13.60,13,-0.0215,0.4126,-1.4502,0.0117,0.4306,-1.4451,0.0404,-0.0857,0.0020
13.90,14,-0.0215,0.4126,-1.4502,0.0117,0.4306,-1.44,,,
