Time, FPS, x, y, z, x_raw, y_raw, z_raw, pitch, yaw, roll
0.26, 28, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0133, 0.0162, 0.0073
0.52, 27, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0237, 0.0081, 0.0051
0.77, 27, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0344, 0.0010, -0.0068
1.03, 27, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0350, -0.0147, -0.0166
1.30, 27, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0344, -0.0313, -0.0072
1.61, 27, 0.0955, -0.0054, -0.6846, 0.1131, -0.0179, -0.6817, -0.0264, -0.0378, -0.0126
1.90, 27, 0.0795, -0.0240, -0.7296, 0.0784, -0.0304, -0.7295, -0.0001, -0.0419, -0.0042
2.16, 27, 0.0675, -0.0288, -0.7794, 0.0513, -0.0368, -0.7803, 0.0188, -0.0460, -0.0067
2.44, 16, 0.0512, -0.0396, -0.8153, 0.0222, -0.0449, -0.8163, 0.0330, -0.0494, -0.0044
2.74, 16, 0.0357, -0.0518, -0.8523, -0.0006, -0.0534, -0.8529, 0.0393, -0.0531, -0.0007
3.05, 16, 0.0340, -0.0423, -0.8769, -0.0004, -0.0531, -0.8770, 0.0362, -0.0561, -0.0112
3.36, 16, 0.0412, -0.0505, -0.9195, 0.0131, -0.0596, -0.9198, 0.0271, -0.0580, -0.0081
3.67, 17, 0.0525, -0.0535, -0.9423, 0.0393, -0.0666, -0.9421, 0.0100, -0.0625, -0.0109
3.98, 17, 0.0653, -0.0722, -0.9902, 0.0613, -0.0856, -0.9894, -0.0012, -0.0654, -0.0094
4.24, 17, 0.0724, -0.0861, -1.0151, 0.0671, -0.0944, -1.0147, -0.0006, -0.0651, -0.0037
4.49, 16, 0.0709, -0.0909, -1.0194, 0.0628, -0.1022, -1.0189, 0.0017, -0.0661, -0.0067
4.75, 16, 0.0719, -0.1003, -1.0546, 0.0503, -0.1117, -1.0547, 0.0135, -0.0686, -0.0068
5.00, 16, 0.0688, -0.1049, -1.0780, 0.0451, -0.1214, -1.0775, 0.0143, -0.0736, -0.0115
5.25, 16, 0.0684, -0.1157, -1.1096, 0.0463, -0.1311, -1.1090, 0.0117, -0.0736, -0.0100
5.50, 16, 0.0662, -0.1307, -1.1277, 0.0408, -0.1408, -1.1277, 0.0134, -0.0758, -0.0054
5.76, 16, 0.0733, -0.1392, -1.1536, 0.0379, -0.1494, -1.1540, 0.0207, -0.0799, -0.0050
6.01, 16, 0.0718, -0.1511, -1.1517, 0.0379, -0.1583, -1.1524, 0.0183, -0.0826, -0.0024
6.27, 16, 0.0724, -0.1573, -1.1721, 0.0427, -0.1671, -1.1722, 0.0135, -0.0860, -0.0041
