Time, FPS, x, y, z, x_raw, y_raw, z_raw, pitch, yaw, roll
0.28, 20, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0184, -0.0173, 0.0108
0.56, 20, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0278, -0.0248, 0.0098
0.81, 20, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0060, -0.0470, -0.0113
1.07, 20, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0195, -0.0579, -0.0068
1.35, 26, 0.0525, 0.2590, -0.6682, 0.0701, 0.2536, -0.6686, -0.0006, -0.0672, -0.0019
1.61, 26, 0.0388, 0.2641, -0.7485, 0.0463, 0.2560, -0.7509, 0.0150, -0.0724, -0.0068
1.87, 26, 0.0326, 0.2664, -0.7931, 0.0286, 0.2547, -0.7971, 0.0304, -0.0777, -0.0117
2.14, 26, 0.0407, 0.2480, -0.8809, 0.0492, 0.2350, -0.8840, 0.0130, -0.0827, -0.0106
2.40, 24, 0.0517, 0.2369, -0.9164, 0.0650, 0.2233, -0.9190, 0.0064, -0.0829, -0.0096
2.68, 24, 0.0623, 0.2089, -0.9378, 0.0770, 0.1998, -0.9387, 0.0028, -0.0847, -0.0034
2.97, 24, 0.0716, 0.1842, -0.9685, 0.0819, 0.1793, -0.9687, 0.0054, -0.0853, 0.0017
3.23, 24, 0.0731, 0.1734, -0.9841, 0.0775, 0.1674, -0.9848, 0.0105, -0.0865, 0.0005
3.48, 24, 0.0735, 0.1798, -1.0007, 0.0806, 0.1674, -1.0023, 0.0078, -0.0859, -0.0058
3.76, 24, 0.0774, 0.1817, -1.0369, 0.0704, 0.1637, -1.0404, 0.0210, -0.0856, -0.0113
4.02, 24, 0.0808, 0.1605, -1.0355, 0.0795, 0.1464, -1.0377, 0.0138, -0.0845, -0.0071
4.31, 25, 0.0878, 0.1300, -1.0593, 0.0852, 0.1220, -1.0605, 0.0129, -0.0876, -0.0005
4.56, 25, 0.0963, 0.1127, -1.0916, 0.0971, 0.1060, -1.0922, 0.0076, -0.0829, 0.0012
4.84, 25, 0.1026, 0.1015, -1.0826, 0.0942, 0.0917, -1.0842, 0.0149, -0.0803, -0.0018
