Time, FPS, x, y, z, x_raw, y_raw, z_raw, pitch, yaw, roll
0.37, 6, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0030, 0.0263, 0.0069
0.73, 6, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0094, 0.0312, 0.0084
1.11, 6, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0214, 0.0225, 0.0159
1.45, 6, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0378, 0.0159, 0.0006
1.74, 6, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0436, 0.0078, -0.0091
2.03, 6, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0265, 0.0013, -0.0020
2.33, 6, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0044, -0.0042, -0.0004
2.63, 7, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0447, -0.0110, -0.0024
2.93, 7, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0433, -0.0131, -0.0029
3.25, 7, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0247, -0.0167, -0.0091
3.55, 7, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0105, -0.0208, -0.0044
3.85, 7, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0168, -0.0220, -0.0056
4.17, 7, -0.0759, 0.2960, -1.1510, -0.1031, 0.2924, -1.1498, 0.0299, -0.0248, -0.0050
4.49, 7, -0.0912, 0.2941, -1.1967, -0.1288, 0.2863, -1.1952, 0.0382, -0.0283, -0.0091
4.81, 7, -0.1077, 0.2950, -1.2406, -0.1409, 0.2802, -1.2408, 0.0343, -0.0323, -0.0152
5.14, 7, -0.1127, 0.2851, -1.2558, -0.1361, 0.2729, -1.2561, 0.0262, -0.0344, -0.0131
5.47, 7, -0.1058, 0.2717, -1.2913, -0.1243, 0.2633, -1.2914, 0.0212, -0.0330, -0.0095
5.79, 7, -0.1053, 0.2715, -1.3214, -0.1171, 0.2609, -1.3226, 0.0080, -0.0336, -0.0055
6.11, 7, -0.1075, 0.2437, -1.3375, -0.0968, 0.2452, -1.3380, -0.0004, -0.0335, -0.0039
6.42, 7, -0.1075, 0.2437, -1.3375, -0.0968, 0.2452, -1.3380, -0.0008, -0.0347, -0.0013
6.75, 7, -0.0698, 0.1968, -1.4121, -0.0574, 0.2029, -1.4118, -0.0035, -0.0372, 0.0027
7.06, 7, -0.0698, 0.1968, -1.4121, -0.0574, 0.2029, -1.4118, -0.0029, -0.0333, 0.0014
7.37, 7, -0.0486, 0.1930, -1.4856, -0.0494, 0.1840, -1.4867, 0.0051, -0.0359, -0.0072
7.68, 7, -0.0486, 0.1930, -1.4856, -0.0494, 0.1840, -1.4867, 0.0099, -0.0361, -0.0051
8.00, 7, -0.0527, 0.1887, -1.5422, -0.0658, 0.1796, -1.5428, 0.0173, -0.0379, -0.0089
8.32, 7, -0.0421, 0.1820, -1.5936, -0.0812, 0.1746, -1.5930, 0.0286, -0.0368, -0.0061
8.65, 7, -0.0271, 0.1620, -1.6072, -0.0832, 0.1734, -1.6041, 0.0527, -0.0360, -0.0093
8.96, 7, -0.0271, 0.1620, -1.6072, -0.0832, 0.1734, -1.6041, 0.0696, -0.0405, -0.1029
9.25, 7, -0.0271, 0.1620, -1.6072, -0.0832, 0.1734, -1.6041, 0.0519, -0.0383, -0.0975
9.56, 7, -0.0271, 0.1620, -1.6072, -0.0832, 0.1734, -1.6041, 0.0302, -0.0328, -0.0771
9.86, 7, -0.0271, 0.1620, -1.6072, -0.0832, 0.1734, -1.6041, 0.0109, -0.0287, -0.0498
10.13, 7, -0.0271, 0.1620, -1.6072, -0.0832, 0.1734, -1.6041, -0.0122, -0.0278, -0.0162
10.41, 7, -0.0271, 0.1620, -1.6072, -0.0832, 0.1734, -1.6041, -0.0205, -0.0267, 0.0003
10.70, 7, -0.0271, 0.1620, -1.6072, -0.0832, 0.1734, -1.6041, -0.0119, -0.0256, 0.0183
