Time,X,Y,Z,Pitch,Yaw,Roll,errorHeight,errorRoll,errorPitch,errorYaw,HLeadOut,HIntegralOut,HeightError
0.251,0.300,0.961,0.434,0.024,-0.074,-0.016,467.064,-0.000,-0.019,0.014,0.433,0.000,"-3.566
"
0.503,0.303,0.963,0.437,0.032,-0.075,-0.007,467.055,-0.022,-0.119,0.018,0.434,0.000,"-3.563
"
0.755,0.301,0.984,0.467,0.044,-0.079,0.047,466.960,-0.412,-0.034,0.069,0.440,0.000,"-3.533
"
1.006,0.294,1.029,0.556,0.045,-0.088,0.055,466.367,-1.283,0.014,0.153,0.477,0.000,"-3.444
"
1.257,0.276,1.159,0.801,0.036,-0.099,0.024,464.912,-5.066,0.132,0.265,0.568,0.000,"-3.199
"
1.555,0.248,1.326,1.150,0.041,-0.113,-0.065,461.579,-6.780,0.207,0.419,0.776,0.000,"-2.850
"
1.855,0.219,1.474,1.550,0.052,-0.118,-0.099,456.883,-11.455,0.543,0.513,1.070,0.000,"-2.450
"
2.154,0.207,1.539,1.875,0.056,-0.123,-0.149,451.442,-9.751,0.384,0.582,1.410,0.000,"-2.125
"
2.454,0.211,1.531,2.256,0.054,-0.120,-0.150,445.879,-9.328,0.284,0.577,1.758,0.000,"-1.744
"
2.704,0.225,1.466,2.497,0.046,-0.120,-0.151,441.261,-5.633,-0.036,0.567,2.046,0.000,"-1.503
"
3.004,0.258,1.284,2.855,0.040,-0.118,-0.069,435.649,1.576,-0.365,0.547,2.397,0.000,"-1.145
"
3.254,0.285,1.111,3.122,0.034,-0.115,0.037,431.386,5.584,-0.392,0.514,2.663,0.000,"-0.878
"
3.554,0.296,1.019,3.285,0.039,-0.116,0.086,426.663,0.664,-0.064,0.508,2.959,0.000,"-0.715
"
3.853,0.297,0.957,3.440,0.035,-0.119,0.026,423.014,1.517,0.153,0.545,3.187,0.000,"-0.560
"
4.105,0.286,0.965,3.538,0.050,-0.125,0.028,420.635,-0.034,0.329,0.553,3.335,0.000,"-0.462
"
4.357,0.277,0.998,3.551,0.049,-0.119,0.006,419.059,-1.007,0.402,0.567,3.434,0.000,"-0.449
"
4.608,0.268,1.068,3.500,0.061,-0.117,-0.020,418.316,-2.902,0.345,0.549,3.480,0.000,"-0.500
"
4.859,0.267,1.119,3.415,0.051,-0.114,-0.049,418.495,-3.444,0.172,0.519,3.469,0.000,"-0.585
"
5.111,0.274,1.176,3.246,0.060,-0.112,-0.069,419.401,-5.807,-0.430,0.491,3.412,0.000,"-0.754
"
5.362,0.289,1.205,3.028,0.050,-0.109,-0.102,421.469,-4.649,-0.528,0.446,3.283,0.000,"-0.972
"
5.613,0.318,1.200,2.695,0.055,-0.101,-0.084,424.363,-3.759,-1.417,0.426,3.102,0.000,"-1.305
"
5.865,0.339,1.169,2.421,0.035,-0.098,-0.079,427.970,-2.417,-1.612,0.337,2.877,0.000,"-1.579
"
