1.261,0.040,1.760,0.619,0.037,-0.012,0.038,94.556,-1.768,0.358,0.191
1.513,0.023,1.896,0.766,0.034,-0.021,0.015,94.655,-2.638,0.407,0.299
1.765,0.003,2.053,0.926,0.032,-0.024,-0.003,94.721,-3.798,0.508,0.360
2.017,-0.016,2.214,1.082,0.044,-0.030,-0.032,94.765,-4.652,0.534,0.424
2.269,-0.029,2.342,1.202,0.043,-0.032,-0.048,94.805,-5.355,0.568,0.462
2.520,-0.039,2.456,1.313,0.039,-0.031,-0.057,94.862,-5.192,0.546,0.475
2.773,-0.049,2.590,1.468,0.044,-0.038,-0.065,94.902,-5.745,0.521,0.509
3.025,-0.050,2.655,1.564,0.050,-0.039,-0.080,94.928,-6.052,0.501,0.543
3.277,-0.041,2.703,1.691,0.048,-0.038,-0.090,94.960,-5.874,0.462,0.553
3.529,-0.029,2.701,1.765,0.045,-0.036,-0.091,94.989,-5.791,0.368,0.531
3.781,-0.011,2.666,1.839,0.040,-0.036,-0.098,95.021,-5.692,0.280,0.527
4.033,0.015,2.568,1.926,0.037,-0.037,-0.106,95.057,-4.727,0.023,0.525
4.285,0.043,2.408,2.003,0.037,-0.038,-0.091,95.088,-3.973,-0.016,0.530
4.537,0.066,2.239,2.057,0.032,-0.039,-0.065,95.115,-2.185,-0.166,0.531
4.790,0.086,2.059,2.102,0.030,-0.037,-0.043,95.153,-1.112,-0.221,0.530
5.042,0.103,1.863,2.142,0.026,-0.038,-0.020,95.199,0.238,-0.263,0.530
5.294,0.113,1.681,2.172,0.027,-0.037,-0.010,95.246,1.000,-0.207,0.536
5.546,0.116,1.516,2.200,0.030,-0.039,0.001,95.296,1.924,-0.111,0.536
5.798,0.111,1.374,2.229,0.021,-0.039,0.010,95.343,2.493,0.003,0.552
6.050,0.100,1.266,2.254,0.029,-0.039,0.019,95.389,2.819,0.144,0.554
6.302,0.079,1.174,2.280,0.037,-0.037,0.023,95.434,3.294,0.415,0.556
6.554,0.056,1.122,2.304,0.039,-0.037,0.029,95.479,3.296,0.627,0.552
6.806,0.033,1.103,2.324,0.040,-0.039,0.021,95.523,2.795,0.596,0.546
7.058,0.012,1.112,2.341,0.039,-0.042,0.013,95.569,2.457,0.655,0.542
7.310,-0.005,1.143,2.356,0.045,-0.035,0.012,95.615,2.087,0.699,0.527
7.562,-0.017,1.182,2.369,0.049,-0.036,0.003,95.663,1.711,0.743,0.528
7.813,-0.026,1.258,2.386,0.050,-0.035,-0.008,95.708,1.523,0.678,0.510
8.065,-0.027,1.317,2.395,0.050,-0.034,-0.012,95.753,0.868,0.644,0.499
8.317,-0.020,1.384,2.402,0.054,-0.031,-0.024,95.800,0.631,0.548,0.468
8.569,-0.000,1.464,2.409,0.058,-0.033,-0.038,95.849,0.469,0.429,0.487
8.821,0.025,1.519,2.418,0.048,-0.029,-0.043,95.897,0.116,0.228,0.462
9.072,0.070,1.573,2.427,0.049,-0.030,-0.054,95.943,-0.186,-0.152,0.465
9.324,0.104,1.592,2.430,0.039,-0.032,-0.062,95.992,-0.147,-0.253,0.472
9.577,0.167,1.588,2.430,0.037,-0.029,-0.071,96.044,0.083,-0.852,0.452
9.829,0.209,1.559,2.431,0.040,-0.030,-0.065,96.096,0.503,-1.114,0.434
10.080,0.209,1.559,2.431,0.040,-0.030,-0.065,96.149,0.641,-1.173,0.451
10.331,0.275,1.480,2.428,0.044,-0.026,-0.049,96.205,1.745,-1.935,0.415
10.583,0.343,1.365,2.419,0.023,-0.021,-0.025,96.264,1.653,-1.678,0.392
10.835,0.371,1.302,2.415,0.027,-0.026,-0.034,96.327,1.891,-1.667,0.389
11.087,0.401,1.220,2.412,0.033,-0.026,-0.035,96.386,2.139,-1.704,0.398
11.339,0.421,1.149,2.409,0.031,-0.021,-0.025,96.444,2.875,-1.898,0.385
11.592,0.435,1.070,2.405,0.018,-0.019,-0.008,96.503,4.008,-2.003,0.370
11.844,0.434,1.005,2.403,0.013,-0.024,0.004,96.561,3.767,-1.804,0.344
12.096,0.419,0.966,2.403,0.017,-0.018,0.005,96.618,3.754,-1.588,0.335
12.347,0.393,0.944,2.404,0.033,-0.019,0.002,96.673,3.779,-1.218,0.322
12.599,0.373,0.939,2.406,0.032,-0.017,-0.000,96.728,3.590,-1.141,0.322
12.852,0.327,0.949,2.414,0.038,-0.017,-0.004,96.780,3.449,-1.098,0.325
13.104,0.299,0.967,2.421,0.041,-0.014,-0.000,96.828,3.319,-1.024,0.303
13.356,0.257,1.007,2.437,0.045,-0.010,-0.014,96.872,3.161,-0.908,0.262
13.607,0.240,1.029,2.447,0.047,-0.010,-0.014,96.913,2.916,-0.739,0.233
13.859,0.215,1.070,2.469,0.051,-0.014,-0.026,96.945,2.578,-0.538,0.248
14.111,0.198,1.114,2.500,0.056,-0.009,-0.034,96.972,2.413,-0.533,0.229
14.363,0.193,1.141,2.528,0.054,-0.012,-0.038,96.991,2.300,-0.534,0.228
