0.252,0.188,3.566,0.414,0.041,1.640,-0.026,86.227,0.034,-0.021,0.042,0.414,39.105,-2.586
0.504,0.187,3.568,0.416,0.034,1.639,-0.026,86.283,0.006,0.079,0.038,0.415,42.009,-2.584
0.756,0.198,3.572,0.438,0.051,1.637,0.017,86.337,-0.385,0.187,0.029,0.419,44.911,-2.562
1.008,0.227,3.580,0.502,0.054,1.625,0.011,86.380,-1.238,0.469,0.138,0.444,47.798,-2.498
1.260,0.276,3.587,0.605,0.046,1.619,-0.011,86.404,-2.382,0.611,0.233,0.498,50.642,-2.395
1.512,0.332,3.596,0.734,0.046,1.610,-0.046,86.409,-3.420,0.802,0.309,0.585,53.405,-2.266
1.763,0.380,3.606,0.869,0.051,1.610,-0.065,86.399,-4.014,0.972,0.361,0.695,56.058,-2.131
2.015,0.407,3.624,0.995,0.035,1.607,-0.079,86.380,-3.995,1.393,0.394,0.815,58.579,-2.005
2.265,0.405,3.646,1.104,0.051,1.602,-0.083,86.359,-3.264,1.928,0.452,0.935,60.965,-1.896
2.517,0.375,3.670,1.195,0.065,1.601,-0.068,86.341,-1.969,2.415,0.476,1.044,63.222,-1.805
2.769,0.324,3.687,1.269,0.074,1.598,-0.053,86.329,-0.981,2.310,0.500,1.140,65.364,-1.731
3.021,0.260,3.697,1.328,0.059,1.598,-0.042,86.324,0.324,2.262,0.511,1.220,67.407,-1.672
3.273,0.195,3.699,1.372,0.060,1.599,-0.026,86.325,1.751,2.089,0.507,1.285,69.368,-1.628
3.525,0.137,3.696,1.401,0.057,1.597,-0.012,86.333,2.168,1.921,0.517,1.336,71.264,-1.599
3.777,0.093,3.691,1.419,0.052,1.594,-0.014,86.348,2.519,1.783,0.520,1.374,73.110,-1.581
4.029,0.063,3.685,1.423,0.052,1.595,-0.013,86.370,2.782,1.649,0.547,1.398,74.922,-1.577
4.281,0.047,3.682,1.417,0.040,1.593,-0.025,86.398,2.661,1.718,0.566,1.409,76.714,-1.583
4.532,0.041,3.679,1.401,0.058,1.594,-0.026,86.433,2.514,1.644,0.551,1.410,78.499,-1.599
4.784,0.040,3.679,1.371,0.049,1.595,-0.034,86.474,2.403,1.676,0.554,1.399,80.290,-1.629
5.036,0.039,3.682,1.330,0.042,1.602,-0.031,86.526,2.434,1.801,0.519,1.373,82.222,-1.670
5.288,0.036,3.686,1.274,0.052,1.599,-0.037,86.583,2.528,1.937,0.501,1.337,84.068,-1.726
5.540,0.027,3.692,1.211,0.057,1.597,-0.047,86.647,2.795,2.036,0.501,1.289,85.962,-1.789
5.792,0.011,3.698,1.134,0.058,1.601,-0.041,86.719,3.215,2.089,0.509,1.229,87.916,-1.866
6.044,-0.010,3.700,1.054,0.062,1.597,-0.043,86.797,3.673,2.084,0.501,1.161,89.942,-1.946
6.296,-0.037,3.700,0.967,0.056,1.601,-0.038,86.881,4.202,2.013,0.473,1.085,92.050,-2.033
6.548,-0.064,3.697,0.877,0.064,1.603,-0.026,86.971,4.730,1.822,0.478,1.003,94.246,-2.123
6.800,-0.091,3.692,0.787,0.060,1.601,-0.027,87.064,5.034,1.709,0.486,0.916,96.538,-2.213
7.052,-0.115,3.681,0.701,0.058,1.601,-0.024,87.161,5.302,1.457,0.485,0.829,98.927,-2.299
7.304,-0.135,3.669,0.632,0.058,1.600,-0.028,87.256,5.503,1.174,0.497,0.746,101.413,-2.368
7.556,-0.148,3.657,0.580,0.047,1.604,-0.014,87.346,5.618,0.965,0.476,0.675,103.986,-2.420
7.808,-0.155,3.647,0.553,0.049,1.602,-0.019,87.429,5.547,0.872,0.474,0.619,106.630,-2.447
8.060,-0.155,3.638,0.552,0.057,1.601,-0.025,87.501,5.428,0.769,0.479,0.585,109.325,-2.448
8.312,-0.151,3.629,0.573,0.047,1.600,-0.025,87.561,5.260,0.619,0.503,0.573,112.046,-2.427
8.564,-0.145,3.619,0.612,0.056,1.599,-0.026,87.609,5.110,0.474,0.504,0.583,114.768,-2.388
8.815,-0.137,3.615,0.670,0.047,1.599,-0.024,87.646,4.941,0.507,0.509,0.611,117.469,-2.330
9.067,-0.127,3.613,0.737,0.049,1.599,-0.024,87.672,4.780,0.576,0.515,0.657,120.127,-2.263
9.319,-0.116,3.616,0.810,0.053,1.596,-0.034,87.690,4.602,0.704,0.526,0.715,122.727,-2.190
9.571,-0.105,3.620,0.885,0.056,1.597,-0.033,87.702,4.384,0.791,0.534,0.781,125.257,-2.115
9.823,-0.095,3.625,0.957,0.056,1.597,-0.034,87.710,4.289,0.942,0.547,0.851,127.711,-2.043
10.075,-0.090,3.628,1.025,0.061,1.594,-0.043,87.717,4.284,0.913,0.538,0.921,130.085,-1.975
10.327,-0.091,3.626,1.084,0.067,1.595,-0.043,87.724,4.424,0.771,0.582,0.987,132.382,-1.916
10.579,-0.099,3.619,1.134,0.062,1.595,-0.042,87.733,4.677,0.553,0.570,1.048,134.608,-1.866
10.831,-0.114,3.609,1.176,0.060,1.598,-0.035,87.746,5.142,0.233,0.529,1.105,136.911,-1.824
11.083,-0.133,3.599,1.209,0.051,1.594,-0.036,87.762,5.705,0.017,0.579,1.150,139.013,-1.791
11.335,-0.151,3.591,1.234,0.049,1.595,-0.027,87.781,5.782,0.080,0.552,1.187,141.069,-1.766
11.587,-0.166,3.587,1.247,0.054,1.596,-0.020,87.805,5.902,0.082,0.541,1.214,143.089,-1.753
11.839,-0.176,3.586,1.251,0.061,1.597,-0.026,87.834,5.941,0.111,0.528,1.232,145.084,-1.749
12.091,-0.183,3.589,1.246,0.047,1.599,-0.026,87.868,5.981,0.268,0.520,1.240,147.064,-1.754
12.343,-0.188,3.596,1.236,0.054,1.594,-0.035,87.906,6.062,0.448,0.520,1.241,149.040,-1.764
12.595,-0.193,3.604,1.220,0.062,1.598,-0.030,87.948,6.098,0.587,0.521,1.234,151.018,-1.780
