Time,X,Y,Z,Pitch,Yaw,Roll,errorHeight,errorRoll,errorPitch,errorYaw,HLeadOut,HIntegralOut,HeightError
0.252,-0.215,0.504,0.428,0.028,-0.052,-0.012,99.133,0.018,-0.104,0.017,0.428,11.702,"-2.572
"
0.504,-0.213,0.508,0.434,0.036,-0.056,-0.005,100.000,-0.173,-0.097,-0.012,0.429,12.580,"-2.566
"
0.756,-0.216,0.537,0.538,0.065,-0.066,0.043,100.000,-1.279,-0.063,0.101,0.470,13.453,"-2.462
"
1.007,-0.214,0.601,0.817,0.054,-0.076,0.016,100.000,-3.441,-0.343,0.196,0.644,14.291,"-2.183
"
1.259,-0.209,0.689,1.256,0.042,-0.086,-0.043,100.000,-6.488,-0.942,0.304,0.981,15.043,"-1.744
"
1.511,-0.206,0.762,1.789,0.036,-0.091,-0.081,100.000,-7.893,-1.068,0.414,1.460,15.654,"-1.211
"
1.762,-0.207,0.797,2.412,0.035,-0.095,-0.113,98.862,-6.503,-0.711,0.464,2.038,16.083,"-0.588
"
2.014,-0.211,0.804,3.197,0.052,-0.095,0.011,97.085,-5.078,-0.417,0.466,2.725,16.291,"0.197
"
2.266,-0.214,0.809,3.989,0.040,-0.103,0.016,94.775,-4.945,-0.447,0.536,3.511,16.251,"0.989
"
2.518,-0.210,0.836,4.557,0.058,-0.101,0.018,92.464,-6.250,-0.841,0.574,4.208,15.953,"1.557
"
2.769,-0.207,0.892,5.067,0.038,-0.082,0.049,90.190,-8.891,-0.993,0.517,4.804,15.401,"2.067
"
3.021,-0.198,0.969,5.447,0.048,-0.106,-0.009,88.265,-10.181,-1.711,0.541,5.230,14.708,"2.447
"
3.272,-0.194,0.998,5.580,0.038,-0.109,-0.088,86.654,-10.544,-2.434,0.619,5.506,13.893,"2.580
"
3.522,-0.194,0.998,5.580,0.038,-0.109,-0.088,85.607,-10.399,-2.543,0.642,5.567,13.024,"2.580
"
3.772,-0.194,0.998,5.580,0.038,-0.109,-0.088,84.699,-10.386,-2.553,0.644,5.578,12.146,"2.580
"
4.023,-0.194,0.998,5.580,0.038,-0.109,-0.088,83.814,-10.385,-2.554,0.644,5.579,11.266,"2.580
"
4.273,-0.194,0.998,5.580,0.038,-0.109,-0.088,82.932,-10.385,-2.554,0.644,5.580,10.385,"2.580
"
4.523,-0.162,1.175,5.462,0.046,-0.074,-0.075,82.106,-12.747,-2.505,0.460,5.561,9.506,"2.462
"
4.821,-0.162,1.192,5.234,0.035,-0.057,-0.030,81.696,-11.772,-1.498,0.104,5.353,8.494,"2.234
"
5.073,-0.163,1.191,4.977,0.034,-0.052,0.012,81.636,-10.750,-1.303,0.074,5.110,7.731,"1.977
"
5.371,-0.171,1.184,4.626,0.023,-0.081,-0.033,81.369,-10.322,-1.393,0.119,4.915,6.902,"1.626
"
5.623,-0.181,1.173,4.291,0.040,-0.081,-0.076,81.913,-9.876,-0.881,0.284,4.524,6.317,"1.291
"
5.921,-0.196,1.137,3.878,0.031,-0.080,-0.095,82.636,-8.892,-0.602,0.321,4.089,5.781,"0.878
"
6.173,-0.206,1.075,3.518,0.045,-0.079,-0.086,83.302,-5.603,-0.038,0.310,3.749,5.467,"0.518
"
6.425,-0.218,0.975,3.102,0.044,-0.080,-0.074,84.259,-4.071,0.057,0.285,3.353,5.278,"0.102
"
6.677,-0.224,0.867,2.723,0.049,-0.077,-0.042,85.327,-3.022,0.076,0.280,2.965,5.225,"-0.277
"
6.928,-0.229,0.758,2.366,0.047,-0.077,-0.038,86.491,-0.315,0.319,0.275,2.588,5.301,"-0.634
"
7.181,-0.233,0.640,1.997,0.039,-0.081,-0.052,87.742,1.659,0.538,0.279,2.225,5.504,"-1.003
"
7.433,-0.236,0.535,1.655,0.046,-0.074,0.011,89.086,2.391,0.553,0.260,1.873,5.829,"-1.345
"
7.685,-0.240,0.456,1.323,0.044,-0.070,0.043,90.512,2.823,0.700,0.221,1.532,6.272,"-1.677
"
7.937,-0.246,0.418,1.003,0.052,-0.059,0.040,92.116,2.334,0.665,0.136,1.184,6.870,"-1.997
"
8.190,-0.249,0.422,0.712,0.067,-0.038,0.023,93.674,1.150,0.609,-0.048,0.878,7.543,"-2.288
"
8.441,-0.240,0.447,0.507,0.076,-0.030,-0.054,95.172,0.220,0.084,-0.220,0.626,8.313,"-2.493
"
8.693,-0.223,0.490,0.446,0.088,0.004,0.011,96.436,-1.432,-0.492,-0.455,0.479,9.152,"-2.554
"
8.945,-0.212,0.531,0.492,0.069,0.007,-0.061,97.301,-1.835,-0.458,-0.620,0.478,10.015,"-2.508
"
9.198,-0.191,0.581,0.430,0.070,0.016,-0.027,98.200,-2.592,-1.049,-0.677,0.465,10.876,"-2.570
"
9.450,-0.195,0.648,0.447,0.063,0.029,-0.045,99.108,-3.575,-0.211,-0.905,0.451,11.745,"-2.553
"
9.702,-0.208,0.713,0.429,0.044,0.054,-0.017,100.000,-4.734,0.365,-1.126,0.437,12.618,"-2.571
"
9.955,-0.228,0.703,0.427,-0.003,0.059,-0.016,100.000,-3.009,0.680,-1.239,0.430,13.494,"-2.573
"
